gene,logFC,AveExpr,t,PValue,FDR,B
CYLC2,-0.4282166591135463,1.3096173989483813,-2.9066250326857297,0.014457659245784082,0.08527446123800082,-3.7132082413830276
RPAP1,-0.3878125895603217,5.168854790187495,-2.9064777826253776,0.01446144520933625,0.08527446123800082,-3.713467945865702
LTBP3,-0.39743559247858934,5.702789259443488,-2.9054689935499214,0.01448740908136053,0.08539671037413023,-3.715247103628707
KCNA6,-0.5134683586461892,3.270978980120771,-2.9052070378433044,0.014494158858496834,0.08540565375031962,-3.715709092039448
CEP170,0.19226794912709141,9.356644672204466,2.90496979126846,0.014500274682859074,0.08541085650437596,-3.7161274989898447
NAT9,0.46916921170402426,4.768081753205451,2.903985648125564,0.014525671936822056,0.08552958778961385,-3.7178630873344978
AMZ1,-0.39989267065840173,5.128806586784121,-2.9023325422644666,0.014568433281945384,0.08573823859526057,-3.7207782742611304
NIP7,-0.338647587342613,6.772871338025054,-2.902209797197022,0.01457161339684186,0.08573823859526057,-3.720994722696038
SERPINB1A,-0.5637895209393311,6.024943660001924,-2.899184908758836,0.014650203602115068,0.08616959394368366,-3.7263284698784265
GPR137,0.4722939104307126,5.707904743954364,2.898112463144131,0.014678169037244983,0.0863029809171155,-3.7282193438793043
AKT1,-0.2199115355546796,8.961521663490508,-2.89790889152113,0.014683483482039485,0.08630313914074486,-3.7285782603303916
MIIP,-0.3994932843483795,5.5306463423767225,-2.8970998686760994,0.0147046229387615,0.08639627631622218,-3.73000461659257
KLC3,0.48844435728038565,3.539235819711977,2.8965530016059398,0.014718929660512246,0.08642521194804699,-3.730968749854072
GAMT,-0.28526958486590415,6.882837804881819,-2.896506845416832,0.014720137802693949,0.08642521194804699,-3.7310501227943624
RFX7,-0.2620310504700248,7.309800257761676,-2.895745653068815,0.014740076434178599,0.08651115697902304,-3.7323920759335607
CHD3,-0.34776252022848103,6.013404501415425,-2.895066185135414,0.014757897268916638,0.08658461510541242,-3.733589916900145
RPGRIP1,-0.5234986364818247,2.820063126772544,-2.894539178415987,0.014771734290770538,0.0866346558009187,-3.734518959560547
NAA20,0.45359571278333066,7.2689145644133815,2.8940761328804943,0.014783902697695526,0.08667487781314165,-3.7353352306500525
MYOF,0.19791667240669825,10.052415243712908,2.89235787111601,0.014829144982126388,0.08690890642666675,-3.7383641005238735
NAIP5,-0.2781827647665322,7.128019485432863,-2.891928585092218,0.014840469864448256,0.08691867372935683,-3.7391207920329004
LONRF1,0.4368285658226371,4.523958542830898,2.891890990282861,0.014841462056348332,0.08691867372935683,-3.7391870588053835
RASL11B,-0.440310423592868,1.8727681084011358,-2.891237933569249,0.014858707971374674,0.08698846180372218,-3.740338157709868
CTNS,-0.19556951114770235,8.509581334094053,-2.89101555961132,0.014864585007320966,0.08699166600555497,-3.7407301141587634
GLT8D2,0.4148874513532545,1.8190969480296983,2.890240635011757,0.014885083418287062,0.08708040557465284,-3.7420959684546236
ASCC2,-0.2412211117421783,7.265708818264571,-2.889554822060841,0.014903248284917311,0.08715420522003717,-3.7433047211497885
