gene,genes,logFC,logCPM,F,PValue,FDR
14324,TMX3,-0.04082876429592963,6.798447430804362,0.031739590348949104,0.862119248766722,0.9959325684619698
717,ALCAM,-0.04248445345714833,8.26385371950516,0.03168494419270202,0.8622366249377673,0.9959325684619698
3175,CSNK1G3,-0.04867706651274944,6.492329651104866,0.03168482339009493,0.8622368845293974,0.9959325684619698
5081,FTO,-0.08113842400210167,4.599164722244899,0.0316131430733095,0.8623910081078416,0.9959325684619698
3328,CYBA,-0.04532709016152696,7.261046971723097,0.031587369581690825,0.86244646921477,0.9959325684619698
15715,YBEY,-0.14300573509594874,1.7884512168018667,0.03155254931674813,0.8625214349581787,0.9959325684619698
12694,SLC38A10,0.043496844221178534,5.844915736936551,0.03147639421377495,0.8626855411812362,0.9959325684619698
6845,ITSN1,0.04894677825381272,5.878623148482609,0.03147495173226728,0.8626886515576292,0.9959325684619698
8821,NAV2,0.07981282834765864,3.697935412987221,0.03143253251427963,0.8627801517367331,0.9959325684619698
8592,MTMR6,-0.038348117577873625,6.967399995918951,0.03141261544299548,0.8628231357974431,0.9959325684619698
8556,MT2,0.16344644190773702,2.9337601233022457,0.03137713803542989,0.8628997363546613,0.9959325684619698
14373,TNKS2,-0.03564105131185441,7.209840593389558,0.03135998503474218,0.862936788084808,0.9959325684619698
12587,SLC25A3,0.03837411553106023,7.64136684443582,0.03131901738839931,0.8630253236156384,0.9959325684619698
4091,EAF2,-0.1727239470700425,3.3450529258494206,0.0311742208961397,0.8633387254368377,0.9959325684619698
7982,MARF1,0.05288920102293043,6.980488622669838,0.031057408201497688,0.8635921072627737,0.9959325684619698
13553,SYP,0.22034576675453565,1.6450239745711819,0.030993374557182065,0.8637312136160722,0.9959325684619698
408,ACSL3,0.0787754300922317,4.145467624887654,0.030945430694494798,0.8638354639082787,0.9959325684619698
3013,CP,-0.12850637444952323,5.311883519650432,0.030914747711560525,0.8639022255487003,0.9959325684619698
2208,CCT5,-0.042956399091892264,7.842471641643401,0.030863256720651343,0.8640143393598664,0.9959325684619698
3258,CTSS,-0.04590250494261058,11.46208461745489,0.0308404601875088,0.8640640062253269,0.9959325684619698
12440,SKIL,0.03838160250747961,9.230865180506171,0.030829896670540497,0.8640870274209526,0.9959325684619698
407,ACSL1,-0.044247925971108944,7.5250574562630606,0.030821551615975162,0.8641052167784788,0.9959325684619698
14232,TMEM33,-0.0631549390278028,5.1251976882722055,0.030803154668274706,0.8641453248100184,0.9959325684619698
10289,PLSCR3,0.07465455287844606,3.577502750682153,0.030745867794297523,0.8642702979251705,0.9959325684619698
8529,MSH2,-0.1415090079298504,3.151739363324997,0.030689708182063378,0.8643929287577968,0.9959325684619698
3006,COX7A2L,0.09223234639002083,5.823440608233773,0.030682781810980782,0.8644080612997118,0.9959325684619698
14694,TSPAN31,0.058222393977332844,5.239666366453962,0.03067108065724081,0.8644336296643007,0.9959325684619698
12858,SMAD2,0.04728256747644497,6.182363128727435,0.03064671314799028,0.8644868916551404,0.9959325684619698
8480,MRPS11,0.12213422772792737,2.850375143172218,0.030612541097501417,0.864561621086015,0.9959325684619698
14148,TMEM154,-0.1277166512251251,3.5550860739459407,0.030519218340792884,0.8647659246192642,0.9959325684619698
4650,FAM53C,-0.0507165116146003,5.211842274812154,0.030323687633898932,0.8651950325744846,0.9959325684619698
7416,LBP,0.23177483385154385,1.239998613190239,0.03019387362892235,0.8654807099141095,0.9959325684619698
2955,COPA,-0.05262665258729907,8.274674550025775,0.030150243330955145,0.8655768680575886,0.9959325684619698
8867,NCS1,0.11486995353540778,2.7581707805546296,0.03014216637853292,0.8655946769818051,0.9959325684619698
8172,METTL21A,-0.15527278995139915,2.001049330299936,0.030090728917174264,0.865708149647583,0.9959325684619698
10851,PSMB4,-0.03904210794393957,6.38280296374251,0.03008924529379003,0.8657114240535819,0.9959325684619698
12131,SEL1L,-0.03882981602964458,7.427860626202349,0.030028442862307013,0.8658456888425545,0.9959325684619698
14368,TNIP3,0.06407068737042626,6.825657485415239,0.029988447763515388,0.8659340831523084,0.9959325684619698
10025,PHF23,-0.03820260640199502,6.522525490466063,0.02988608015657277,0.866160606438553,0.9959325684619698
3348,CYP1B1,-0.11386490504602337,4.428124335632647,0.029832339606810355,0.8662796861458297,0.9959325684619698
1769,BTNL2,-0.13708316252151073,2.1395575478789515,0.029794762411308337,0.8663630164871003,0.9959325684619698
12951,SNRNP200,-0.04168554685746687,7.739531706839307,0.029773956995623168,0.8664091774482168,0.9959325684619698
13594,TAB2,-0.03882087492099559,8.402187708821195,0.029704592966775165,0.8665631958089628,0.9959325684619698
4642,FAM43A,-0.09269130227499185,3.7056125895569654,0.029670265593263394,0.8666394862161101,0.9959325684619698
5067,FSD1L,0.22706548678060895,1.4685795009852813,0.029634906402134755,0.8667181174297951,0.9959325684619698
13741,TBL1XR1,0.03698495442674182,7.411252168614056,0.029609500858527277,0.8667746437838368,0.9959325684619698
14329,TNFAIP2,0.0585024496224186,9.436723016838188,0.029598386596724167,0.8667993804596641,0.9959325684619698
16113,ZFP719,-0.07339833892357082,3.757567460129788,0.0295832295005967,0.8668331228791009,0.9959325684619698
13269,SSBP2,0.17638178000127155,2.220871487288055,0.02952946409613404,0.8669528863596713,0.9959325684619698
7456,LCP1,0.03844655158525022,9.788489030964264,0.029518560794143646,0.8669771874001572,0.9959325684619698
3245,CTSD,-0.040947217811700284,8.979604199332073,0.02940260350342999,0.8672359176573932,0.9959325684619698
4042,DUSP8,-0.15998724145635462,2.6424939761163335,0.029395091174412427,0.8672526977265488,0.9959325684619698
3505,DBNDD2,0.10151000076599027,2.9510486098354427,0.029381663174188475,0.8672826969717602,0.9959325684619698
3625,DEDD2,0.08946702757934274,5.159636845055458,0.0293676353106387,0.867314043918444,0.9959325684619698
13546,SYNJ2BP,-0.04745360763540236,5.065733818451615,0.029338247262356915,0.8673797401055618,0.9959325684619698
11561,RNASEH2B,0.0841933027338733,3.5103246169792808,0.029330975828756736,0.867396000439221,0.9959325684619698
12855,SLX4,0.05850096332645171,5.140089158594492,0.02931551489536733,0.867430580995912,0.9959325684619698
14532,TRIM12C,-0.0483379982235499,6.176370768265817,0.02915591624649191,0.8677880973152788,0.9959325684619698
10030,PHF8,0.05827825802901039,5.5781050081258385,0.02909265392399785,0.8679300903969556,0.9959325684619698
11695,RPL11,0.04228990760073223,7.97834684842403,0.029063499917726443,0.8679955805545266,0.9959325684619698
1305,ATG7,-0.07210715332184264,4.319483220216002,0.029057023992159637,0.8680101323621494,0.9959325684619698
8522,MS4A6B,-0.05114576735959544,6.248990338856132,0.029021256838898443,0.86809053353831,0.9959325684619698
6711,IP6K1,-0.040593310405850666,6.211432937505727,0.028995150064104507,0.8681492513771246,0.9959325684619698
2156,CCL4,0.14767842961063982,9.460414103034307,0.028665644000240128,0.8688927145537904,0.9959325684619698
8847,NCF4,0.05247795887530659,7.189872105152455,0.028657383483923788,0.8689114092051535,0.9959325684619698
9345,NUCB2,0.05762731552219422,6.183735201367647,0.028653433559397708,0.8689203493938618,0.9959325684619698
3304,CXCL2,-0.12960476317494307,10.143420154195034,0.0286483350283441,0.8689318902577984,0.9959325684619698
13273,SSH2,0.06426582672774397,7.107894315427362,0.028602018474764148,0.8690367794082594,0.9959325684619698
12276,SFI1,0.05175915783140427,4.772131811348827,0.028580409244425144,0.869085745954756,0.9959325684619698
14119,TMEM123,-0.03572094527582358,8.33227818783201,0.028431533988376473,0.8694236175826968,0.9959325684619698
7979,MARCKS,-0.05820219889866295,9.181060303652853,0.028408806159164354,0.8694752784622117,0.9959325684619698
1989,CASP8AP2,0.08185465611481733,5.904379028556575,0.028397270068067117,0.8695015084158733,0.9959325684619698
8495,MRPS26,-0.08676481799140143,3.0308809197335846,0.02835596853146864,0.8695954620192359,0.9959325684619698
14263,TMEM68,-0.06234190089530645,4.364219936958942,0.028352394032797646,0.8696035966801132,0.9959325684619698
5664,GPAM,0.1287302379243771,1.9821176370413134,0.02824443307511896,0.8698495382970792,0.9959325684619698
1068,ARHGAP1,0.055633402708225026,5.590429644234286,0.028239915007004127,0.8698598412860068,0.9959325684619698
3061,CR1L,0.06478981913427666,5.17539717049833,0.028201614620380632,0.8699472155256588,0.9959325684619698
11758,RPS12,0.05449437174909597,7.705301698867871,0.028197292710130325,0.8699570788901866,0.9959325684619698
15986,ZFP410,0.07500649315690773,4.161785654010551,0.028184799054875205,0.8699855960069672,0.9959325684619698
616,AGPS,-0.03960202017527934,6.299036545188056,0.02814233758607905,0.8700825642286345,0.9959325684619698
13720,TBC1D25,-0.127780317043199,2.2886328064191894,0.02803770935608522,0.8703218234838646,0.9959325684619698
13650,TAPBPL,0.06735433659350208,4.4605462633108015,0.028034171781077845,0.870329921090737,0.9959325684619698
11753,RPRD2,0.03640994622236661,6.616195459924016,0.027942303379104607,0.870540395104724,0.9959325684619698
8062,MCM9,-0.06919869820762581,4.154063452045086,0.027906538465535223,0.8706224303062126,0.9959325684619698
13645,TAOK2,-0.038050897807149604,6.647849036825371,0.02789103888114111,0.8706579990574331,0.9959325684619698
1192,ARRDC2,-0.08040862559589078,3.7948958472644887,0.02785609324424046,0.8707382303798871,0.9959325684619698
10571,PPP6R1,0.034312735398845114,7.67094271695352,0.027841696706925954,0.8707712983224307,0.9959325684619698
8890,NDUFA2,-0.0510860680150901,5.38285832738283,0.0278158374927608,0.870830717446967,0.9959325684619698
14410,TOMM40,-0.06477047781816815,4.433394956545746,0.0277793409419986,0.8709146274227152,0.9959325684619698
10820,PSEN1,0.037960547681269,6.835795209195582,0.027750582478412944,0.8709807866213742,0.9959325684619698
9874,PDHB,0.07000205364782859,5.403158107707804,0.027744378724152478,0.8709950630654854,0.9959325684619698
8099,MECR,-0.22560929334483387,1.5279338156425404,0.02768397769283605,0.8711341475171867,0.9959325684619698
10577,PPTC7,0.04454049960345213,5.179712841223277,0.027670666279658414,0.8711648205041674,0.9959325684619698
8015,MBD3,0.06684764584865059,5.180028326021702,0.0276573487916667,0.8711955150968537,0.9959325684619698
14389,TNPO3,-0.047140346686168705,5.967510687720621,0.0276370490024668,0.871242317383465,0.9959325684619698
338,ACAA2,0.12398064549304343,3.5615089093709407,0.027622278690066986,0.8712763822868845,0.9959325684619698
15771,ZBTB22,-0.04750073404179344,5.23113951723484,0.027599472418749046,0.8713289990291586,0.9959325684619698
9655,PAK2,0.03472216602529536,8.360875171259096,0.027580079503021437,0.8713737583821455,0.9959325684619698
10224,PLCL2,0.045241748120415586,6.509086454281731,0.027530190704018055,0.871488977576884,0.9959325684619698
16200,ZFP951,0.13149648200752065,2.3693400431070115,0.027472412159679105,0.8716225527847603,0.9959325684619698
3752,DHX34,-0.0797825175600538,4.090989539176498,0.02745548523541487,0.8716617126582777,0.9959325684619698
9168,NOP56,0.04051075484486372,6.8609601804825004,0.02742849953441629,0.8717241688984606,0.9959325684619698
14421,TOP3A,-0.05402050582415793,5.7889695859426,0.027420572048174354,0.8717425224429393,0.9959325684619698
14824,TXK,-0.16995344294594128,1.7633128288839433,0.027284125603118676,0.8720588496366621,0.9959325684619698
10087,PIGR,-0.14695596460410076,4.286189710597881,0.027268608594259964,0.8720948746461059,0.9959325684619698
2093,CCDC50,0.04700145875112153,8.38321423729357,0.027261819313497804,0.8721106402758525,0.9959325684619698
14993,UHRF2,0.06219601748056848,6.073180847494231,0.027245945906611332,0.8721475083683176,0.9959325684619698
8101,MED10,0.048537341070330274,5.316487986634819,0.027241592860519533,0.8721576208274653,0.9959325684619698
2306,CDADC1,0.08785318766422585,3.684408106252316,0.027221121094929454,0.8722051894671295,0.9959325684619698
15895,ZFP143,-0.04124334159942199,5.84802789073727,0.0272096525725644,0.872231846025618,0.9959325684619698
