gene,logFC,AveExpr,t,PValue,FDR,B
MTHFD2,1.485820770033264,7.87595539538486,16.25692877861125,5.783328104524078e-9,4.614416092906782e-6,11.164482285154218
SLC4A11,2.4193122504422044,5.530712530211422,16.216229481082777,5.936940200406962e-9,4.614416092906782e-6,11.140128055356577
CD300LF,1.867717356048372,6.133729292903809,15.939750775935925,7.105757231438283e-9,5.183886924479576e-6,10.972721430254708
INPP5J,1.9600764197990452,5.66298172283076,15.897631888538593,7.304827794573596e-9,5.183886924479576e-6,10.94691444160107
H2-T22,1.9324069849792649,10.163238946997852,15.786307354370742,7.860826330723835e-9,5.346016973753102e-6,10.878310880171249
FCGR4,1.2270549992021922,9.196315330064076,15.572043095537916,9.065109710596557e-9,5.464536115965101e-6,10.744644886695749
CFB,2.5166656127509235,8.315979423923809,15.555762613756693,9.1645012099887e-9,5.464536115965101e-6,10.73439997946355
CCL7,2.240868420064055,7.044570339404727,15.527471022210786,9.340052926280297e-9,5.464536115965101e-6,10.71656675749546
DDX60,1.7756245643300306,8.38949412730599,15.522022361956871,9.374280801802647e-9,5.464536115965101e-6,10.713127884187639
PTGER4,-1.3817976177203377,7.910261192055311,-15.427597081507606,9.989657508658495e-9,5.62245482263186e-6,10.653306294191548
PDPN,1.4752386406056088,9.05017730634264,15.270883132527938,1.1110230817948852e-8,6.044706247018706e-6,10.553071273151417
DCK,1.3401557448240522,9.354058962278264,15.215970914277568,1.1534660971841328e-8,6.073185044593359e-6,10.51766512898282
CX3CR1,-1.5341378651805289,8.756410527248013,-15.048462565019372,1.2942167501725475e-8,6.405625488018569e-6,10.40873654720048
SLC7A8,1.0361778431445783,11.035228193290655,15.047479031488669,1.2950964410281385e-8,6.405625488018569e-6,10.408092829036661
NOS2,3.364564202948664,5.138200976731067,14.61542490936196,1.7525497984535266e-8,8.413269944223076e-6,10.120539922164042
LY6A,0.9373513303213159,12.349340711855218,14.52208343480422,1.8729067096011797e-8,8.432328637864428e-6,10.057140637084789
CCL3,0.9437774262839761,10.509580553777662,14.514528213131985,1.8830348184339594e-8,8.432328637864428e-6,10.051988763963987
FABP4,1.2184250160651537,9.16187402723465,14.493523532912386,1.9115069207265275e-8,8.432328637864428e-6,10.037649775596758
IFI44,1.848994941319188,10.89429867951613,14.204729892723657,2.354325465041372e-8,9.870170334586663e-6,9.8380901901984
MXD4,-1.54938929748338,7.147589558087659,-14.202360259127149,2.3583913922857484e-8,9.870170334586663e-6,9.836433924562638
APOL9B,2.1358279749856077,6.394786934646307,14.102646103351253,2.5366054663212684e-8,1.0350618605323935e-5,9.766456507044314
SLC46A3,-1.6260532796091152,7.699171696273489,-14.050369030015121,2.635847220783925e-8,1.04932434969842e-5,9.72954826584326
CREB5,1.1850222815502647,8.83994385335488,13.846527250314141,3.0651389509546714e-8,1.191171379940051e-5,9.58416029268201
TXNIP,-0.9885703919948403,10.990942601064393,-13.768267326480075,3.249676465486793e-8,1.2249367682986861e-5,9.527711313055047
TMEM176B,-1.526820960518529,9.996769724507255,-13.728828375211561,3.347222968212552e-8,1.2249367682986861e-5,9.49912966407421
PLA2G7,0.8784424765278346,10.357073184875986,13.716971144450552,3.3771691320573996e-8,1.2249367682986861e-5,9.490518974088413
IL27,1.9537515474382376,6.502019448797418,13.613534015431876,3.6511114496305785e-8,1.2633220749025133e-5,9.41505444085335
MLKL,1.4627284865002448,9.16878538062268,13.589123969135455,3.719223728622901e-8,1.2633220749025133e-5,9.397153871085337
TMEM184B,0.9326312687277319,9.558850877571569,13.569432774781564,3.775175711567445e-8,1.2633220749025133e-5,9.382688090402972
TGFBR1,-1.2126167487326895,7.5313960687976,-13.541413979201929,3.8563738284843856e-8,1.2633220749025133e-5,9.362064952193272
IGFBP4,-1.559099670157427,7.381379018196268,-13.536775686607408,3.8699977787725565e-8,1.2633220749025133e-5,9.35864645262691
SLC9A9,-1.5261652756216075,8.69444237669543,-13.474112733027805,4.059276402653965e-8,1.2991276361591768e-5,9.312337047110319
MITD1,1.2198311249468428,7.805046777066189,13.438894587434312,4.170055419171031e-8,1.30891624137903e-5,9.286206804695091
SLC2A1,0.8454173612303533,9.739739318019655,13.284231864009714,4.6969966460033545e-8,1.4464977218125802e-5,9.170566368479065
FCGRT,-1.189666352061834,8.577678057684647,-13.223533506808083,4.9232155363917886e-8,1.4880874812034587e-5,9.124783506588269
PSMB9,1.0951712520281427,8.651364540970114,13.126536640909547,5.309680848602911e-8,1.569605806229305e-5,9.05114917702602
VEGFA,1.1690921889396098,9.04171694024631,13.108470044543358,5.385242320110347e-8,1.569605806229305e-5,9.037369399624243
UGDH,0.8743245134034199,9.563187238817028,13.070555832361004,5.547641922204523e-8,1.5885721307758285e-5,9.008384990939998
GADD45G,1.6583736204513606,7.2140089829594,12.98531857957167,5.932515551955306e-8,1.6694917041209394e-5,8.94289299138384
GLUL,-0.8997962286837164,10.265383989006166,-12.954436565379666,6.079040171256599e-8,1.6817304012754273e-5,8.919051261205954
XAF1,1.236162020179819,9.148341263247536,12.901596392386677,6.338952495345996e-8,1.7244063771506226e-5,8.878116234850413
ISG20,1.793062132374978,8.042808502990063,12.878445957274781,6.456608797130448e-8,1.7276191604387404e-5,8.860125390145217
RHOU,1.576467670322265,6.570241664853793,12.808005551256302,6.82944173649064e-8,1.7799984389689707e-5,8.805171935808984
SLC25A22,1.3833172203454889,7.942762277868276,12.785374446885081,6.954140703820884e-8,1.7799984389689707e-5,8.787448351197286
MIF,0.7559078813755397,9.620310186808048,12.78082056233998,6.979530700527761e-8,1.7799984389689707e-5,8.783877949567394
ALAS1,0.790967339295685,10.02333617828738,12.74043970841857,7.209130340084362e-8,1.8033178866910536e-5,8.752158897774578
SF3B3,-1.1221270611947785,8.03500313032653,-12.711514274584966,7.378636801618118e-8,1.8033178866910536e-5,8.729372584746864
RNASE6,-1.0701760412423253,7.7353001417502485,-12.7075136295214,7.402419949044271e-8,1.8033178866910536e-5,8.726216720768305
IGF2BP2,1.087830853791802,8.05404566200179,12.548338722065488,8.419722359621405e-8,1.973370826511984e-5,8.599796201484024
KLHL24,-1.0763418819413726,8.459500474237204,-12.538913714258166,8.484548143366198e-8,1.973370826511984e-5,8.592257829451032
FCGR1,0.8233610845553175,12.197500117357642,12.521579451491817,8.60519442688682e-8,1.973370826511984e-5,8.57837789565992
