gene,Control,Control,Control,M2b,M2b,M2b
Smarcal1,70,392,290,310,176,180
Ankar,0,0,0,0,1,0
Rpl37a,159,1483,1430,1157,917,1328
Igfbp2,0,1,0,0,0,0
Igfbp5,0,0,0,0,0,0
Tnp1,0,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0
Pinc,0,0,0,0,0,0
D530049I02Rik,0,0,0,0,0,0
6030407O03Rik,0,0,0,0,0,0
Mir6351,0,0,0,0,0,0
Tns1,52,355,350,267,210,231
Rufy4,0,1,0,0,0,0
Cxcr2,1,5,3,1,2,1
Cxcr1,0,0,0,0,0,1
Mir1928,0,0,0,0,0,0
Arpc2,2097,14954,13078,12845,8786,10500
Gpbar1,0,1,0,1,0,1
Aamp,364,878,835,1513,691,764
Pnkd,20,82,80,99,57,76
Tmbim1,116,966,899,888,773,851
Catip,0,2,2,2,0,2
Slc11a1,274,2637,2007,2037,2141,2036
Ctdsp1,61,666,596,439,457,630
Mir26b,0,5,3,3,0,3
Vil1,0,0,0,0,0,3
Usp37,77,399,485,408,345,378
Rqcd1,119,771,800,712,594,775
Plcd4,0,0,1,0,0,0
Zfp142,23,262,215,166,185,178
Bcs1l,4,32,51,27,34,44
Rnf25,53,272,263,286,170,208
Stk36,0,17,14,6,7,3
Ttll4,19,102,113,136,109,141
Cyp27a1,7,81,55,40,34,35
Prkag3,0,0,0,0,0,0
Wnt6,0,14,9,8,5,12
Wnt10a,0,0,0,0,0,0
Cdk5r2,0,0,0,0,0,0
Fev,0,0,0,0,0,0
Cryba2,0,0,0,0,0,0
Mir375,0,0,0,0,0,0
Ccdc108,1,0,0,0,0,1
Ihh,0,0,0,1,0,0
Nhej1,4,36,29,26,21,19
Slc23a3,0,0,0,0,0,0
Cnppd1,84,644,496,441,410,467
Fam134a,100,1032,843,573,710,752
Zfand2b,27,138,121,119,83,126
Abcb6,23,230,268,221,179,193
Atg9a,37,307,243,147,171,216
Ankzf1,18,173,112,94,87,78
Glb1l,18,115,116,84,109,103
Stk16,23,281,246,249,176,228
Tuba4a,53,399,417,259,274,409
A630095N17Rik,0,0,0,0,0,0
Dnajb2,10,112,61,76,78,81
Ptprn,24,162,53,101,116,64
Resp18,0,0,0,0,0,0
Dnpep,39,275,281,157,175,194
Des,0,6,2,1,0,0
Gm15179,0,0,0,0,0,0
Speg,96,591,484,468,404,461
Gmppa,31,163,163,118,123,122
Asic4,0,0,0,0,0,0
Chpf,0,7,7,6,7,7
Tmem198,0,1,0,1,1,1
Obsl1,0,0,0,0,0,0
Inha,0,0,0,0,0,0
Stk11ip,60,372,382,314,285,313
Slc4a3,1,16,4,3,6,9
Gm17751,0,0,0,0,0,0
Mir6343,0,0,0,0,0,0
Epha4,0,1,2,0,1,0
Mir6352,0,0,0,0,0,0
Pax3,0,0,0,0,0,0
Sgpp2,0,0,0,0,0,1
Farsb,46,453,426,379,324,392
Mogat1,1,0,2,1,0,0
Acsl3,39,200,219,143,131,146
Utp14b,51,233,220,252,126,182
Kcne4,0,0,0,0,0,0
Scg2,0,0,0,0,0,0
Ap1s3,62,431,414,445,361,408
Wdfy1,36,183,175,234,210,162
Mrpl44,21,234,207,186,164,220
Serpine2,1,0,3,2,0,1
Fam124b,0,0,0,0,0,0
Cul3,409,2554,2306,2914,1864,2015
1700016L21Rik,0,0,0,0,0,0
Dock10,469,3148,3144,3245,2386,2881
Nyap2,0,0,0,1,0,0
Mir6344,0,0,0,0,0,0
Irs1,0,0,0,0,0,1
Rhbdd1,68,509,442,407,373,398
Col4a4,0,0,0,1,0,0
Col4a3,0,0,0,1,0,0
Mff,57,471,428,325,272,365
