symbol,Control,Control,Control,M2b,M2b,M2b
Kcnb2,2.6864657172417865,2.4789321712056305,2.7237703540147855,2.5703465864840562,2.3855306142936956,2.3346039669173893
Terf1,7.511079222205078,7.786126599340343,7.715040681,7.510527335975341,7.576785691638339,7.6420242122132205
Rdh10,5.994317849446355,5.728545264299664,5.814694937264273,5.282420870206129,5.009091061897581,5.358447499472339
D030040B21Rik,1.8092199213210511,1.3967700725175365,1.3616668724004133,1.392605203105741,1.1140743072490076,1.6297085871632726
Tmem70,6.773170850553403,6.983688498639967,6.743442796903907,6.7609279391023085,6.709953972067515,6.690886923223652
Ly96,9.452479020681153,9.546242622523536,9.764454908779216,9.184438162718509,9.388881649,9.816837966
Gdap1,2.108402230072483,1.9719883276598646,2.1658436383903217,1.8429263873146904,1.93250816,1.9313530653828341
Pi15,1.6377774436222245,2.074594308156347,1.6992000343520752,2.0347293122847283,2.2112138734048896,2.4167358549700273
Crispld1,1.971983485907362,1.7733084541383266,1.9409596428311142,1.7985769186809795,2.0577450246760973,1.9490814360425641
Tfap2d,2.5273604776725134,2.6630338020445237,3.1680633973600987,2.724103667328652,2.570242828685732,2.3457785761543293
Tfap2b,1.9805322573527433,1.6019842424934896,1.7588864892240244,1.2767453999622436,1.9954966686717626,2.447166160803112
4930486I03Rik,2.242695520344285,2.0982088820086884,2.0799677527555027,2.1243663075545998,2.2091010223907994,1.7685428627123165
Mir206,1.115091283915468,0.8456478251379347,0.7888831986315453,0.9603927988955071,0.9661167435889974,0.8143432237334699
Mir133b,2.5772866304649384,2.097186677979503,1.7865232861129758,2.056875059188447,2.111411443357272,1.6739865368598945
Il17a,2.1108908383479474,2.394324342,2.3101305062447417,2.282764896817834,2.641926399809867,2.099765536158394
Paqr8,2.967143399529218,3.571995136162292,2.9338486094152882,3.1921057348426727,2.728167269871905,2.845926855535393
Efhc1,3.523650335640732,2.8975365314804065,3.3166642512648585,3.293751111859266,3.4436345075950072,3.3723570975253896
Tmem14a,4.222372680872706,3.356477939190225,3.850387583943579,3.8711675045145664,4.110513062825574,3.517622871858231
Gsta3,3.643224087624329,3.3695474217473675,4.492401766513163,5.765264955159651,5.127270567430969,4.972043929275851
Khdc1a,3.070756415741713,2.035085480504121,2.232213823638526,1.7924151012359921,1.7294524992001734,1.532187615794476
Khdc1c,3.1921630022278036,2.1002441575085475,1.680535662162874,2.3051121921055344,1.8520049040853823,2.637501671907201
Khdc1b,1.365361384887457,1.0772168695047846,1.276899539644504,1.2755893348088787,1.5615975614214064,1.411730501992777
Kcnq5,2.019390372409298,1.817650451976341,1.8692642581171088,2.1536507282526838,2.138381826095014,1.7752490633289406
Mir30a,1.7707715375151927,1.6902313819079307,1.8942073941255777,1.772795846164333,1.5655197259653182,1.471338871
Mir30c-2,2.351051418681291,2.0345510355055927,3.1690110166765963,2.600540749155435,2.3266151617467292,2.330855255169154
B3gat2,3.5150722996407096,3.326785542274062,3.1407353842698575,3.4570056408576884,2.966786746901666,3.2851274185051995
Col9a1,2.8378639918370396,2.358521686440199,2.486671507,2.281934900396823,2.3371752768546448,2.6744123195283085
Lmbrd1,9.556358909408392,9.62542428,9.544123352876209,9.575127456161775,9.615217300665796,9.624689436457858
